Method	Depth	Tumor_Purity	TP	FP	FN
nanomonsv	20	20	330	20	1338
nanomonsv	40	40	1411	45	258
nanomonsv	10	0	0	103	1668
nanomonsv	50	80	1594	67	74
nanomonsv	30	20	622	17	1046
nanomonsv	20	60	1249	47	420
nanomonsv	40	20	912	28	757
nanomonsv	20	0	0	11	1668
nanomonsv	30	100	1578	66	90
nanomonsv	20	40	912	38	757
nanomonsv	10	20	79	99	1589
nanomonsv	50	60	1578	61	90
nanomonsv	40	0	0	1	1668
nanomonsv	20	100	1495	59	173
nanomonsv	50	20	1112	36	557
nanomonsv	10	80	913	118	756
nanomonsv	20	80	1411	60	258
nanomonsv	50	100	1606	71	62
nanomonsv	30	60	1439	54	230
nanomonsv	40	100	1594	70	74
nanomonsv	30	40	1249	43	420
nanomonsv	10	40	330	97	1338
nanomonsv	50	40	1495	53	173
nanomonsv	30	0	0	3	1668
nanomonsv	40	60	1547	55	121
nanomonsv	50	0	0	3	1668
nanomonsv	10	60	622	109	1046
nanomonsv	30	80	1547	57	121
nanomonsv	10	100	1113	127	556
nanomonsv	40	80	1581	65	87
sniffles2	20	20	168	1322	1500
sniffles2	40	40	512	1209	1157
sniffles2	10	0	0	1405	1668
sniffles2	50	80	533	1145	1137
sniffles2	30	20	325	1176	1343
sniffles2	20	60	488	1592	1180
sniffles2	40	20	417	1069	1251
sniffles2	20	0	0	1273	1668
sniffles2	30	100	535	1446	1135
sniffles2	20	40	417	1508	1251
sniffles2	10	20	44	1459	1624
sniffles2	50	60	535	1141	1135
sniffles2	40	0	0	841	1668
sniffles2	20	100	527	1656	1142
sniffles2	50	20	470	1019	1198
sniffles2	10	80	417	1767	1251
sniffles2	20	80	512	1647	1157
sniffles2	50	100	535	1151	1137
sniffles2	30	60	517	1382	1152
sniffles2	40	100	533	1286	1137
sniffles2	30	40	488	1377	1180
sniffles2	10	40	167	1540	1501
sniffles2	50	40	527	1091	1142
sniffles2	30	0	0	1005	1668
sniffles2	40	60	530	1242	1138
sniffles2	50	0	0	711	1668
sniffles2	10	60	324	1605	1344
sniffles2	30	80	530	1452	1138
sniffles2	10	100	470	1799	1198
sniffles2	40	80	536	1263	1134
cuteSV	20	20	290	174	1378
cuteSV	40	40	1218	456	451
cuteSV	10	0	0	307	1668
cuteSV	50	80	1362	635	309
cuteSV	30	20	554	238	1114
cuteSV	20	60	1079	400	590
cuteSV	40	20	781	321	887
cuteSV	20	0	0	134	1668
cuteSV	30	100	1352	566	319
cuteSV	20	40	781	298	887
cuteSV	10	20	72	305	1596
cuteSV	50	60	1351	596	320
cuteSV	40	0	0	144	1668
cuteSV	20	100	1295	501	374
cuteSV	50	20	959	399	710
cuteSV	10	80	781	490	887
cuteSV	20	80	1219	455	450
cuteSV	50	100	1367	644	304
cuteSV	30	60	1256	459	413
cuteSV	40	100	1362	599	309
cuteSV	30	40	1079	393	590
cuteSV	10	40	290	362	1378
cuteSV	50	40	1294	525	375
cuteSV	30	0	0	126	1668
cuteSV	40	60	1327	533	342
cuteSV	50	0	0	160	1668
cuteSV	10	60	554	415	1114
cuteSV	30	80	1328	527	341
cuteSV	10	100	959	531	710
cuteSV	40	80	1354	592	317
CAMPHORsomatic	20	20	235	290	1433
CAMPHORsomatic	40	40	659	693	1009
CAMPHORsomatic	10	0	0	136	1668
CAMPHORsomatic	50	80	807	773	861
CAMPHORsomatic	30	20	375	397	1293
CAMPHORsomatic	20	60	587	639	1081
CAMPHORsomatic	40	20	464	498	1204
CAMPHORsomatic	20	0	0	155	1668
CAMPHORsomatic	30	100	778	721	890
CAMPHORsomatic	20	40	462	543	1206
CAMPHORsomatic	10	20	57	172	1611
CAMPHORsomatic	50	60	779	776	889
CAMPHORsomatic	40	0	0	115	1668
CAMPHORsomatic	20	100	712	734	956
CAMPHORsomatic	50	20	531	577	1137
CAMPHORsomatic	10	80	303	423	1365
CAMPHORsomatic	20	80	656	704	1012
CAMPHORsomatic	50	100	813	769	855
CAMPHORsomatic	30	60	691	682	977
CAMPHORsomatic	40	100	809	744	859
CAMPHORsomatic	30	40	588	609	1080
CAMPHORsomatic	10	40	155	238	1513
CAMPHORsomatic	50	40	713	739	955
CAMPHORsomatic	30	0	0	112	1668
CAMPHORsomatic	40	60	749	734	919
CAMPHORsomatic	50	0	0	140	1668
CAMPHORsomatic	10	60	244	362	1424
CAMPHORsomatic	30	80	749	718	919
CAMPHORsomatic	10	100	352	451	1316
CAMPHORsomatic	40	80	787	750	881
