Depth	Tumor_Purity	TP	FP	FN	Support_Read
20	20	0	525	1668	3
40	40	0	1352	1668	3
10	0	0	136	1668	3
50	80	0	1580	1668	3
30	20	0	772	1668	3
20	60	0	1226	1668	3
40	20	0	962	1668	3
20	0	0	155	1668	3
30	100	0	1499	1668	3
20	40	0	1005	1668	3
10	20	0	229	1668	3
50	60	0	1555	1668	3
40	0	0	115	1668	3
20	100	0	1446	1668	3
50	20	0	1108	1668	3
10	80	0	726	1668	3
20	80	0	1360	1668	3
50	100	0	1582	1668	3
30	60	0	1373	1668	3
40	100	0	1553	1668	3
30	40	0	1197	1668	3
10	40	0	393	1668	3
50	40	0	1452	1668	3
30	0	0	112	1668	3
40	60	0	1483	1668	3
50	0	0	140	1668	3
10	60	0	606	1668	3
30	80	0	1467	1668	3
10	100	0	803	1668	3
40	80	0	1537	1668	3
20	20	0	29	1668	10
40	40	0	637	1668	10
10	0	0	2	1668	10
50	80	0	1296	1668	10
30	20	0	91	1668	10
20	60	0	296	1668	10
40	20	0	151	1668	10
20	0	0	25	1668	10
30	100	0	1140	1668	10
20	40	0	92	1668	10
10	20	0	2	1668	10
50	60	0	1195	1668	10
40	0	0	81	1668	10
20	100	0	762	1668	10
50	20	0	255	1668	10
10	80	0	44	1668	10
20	80	0	561	1668	10
50	100	0	1371	1668	10
30	60	0	698	1668	10
40	100	0	1278	1668	10
30	40	0	337	1668	10
10	40	0	3	1668	10
50	40	0	848	1668	10
30	0	0	59	1668	10
40	60	0	1014	1668	10
50	0	0	93	1668	10
10	60	0	15	1668	10
30	80	0	986	1668	10
10	100	0	122	1668	10
40	80	0	1194	1668	10
20	20	0	97	1668	7
40	40	0	980	1668	7
10	0	0	15	1668	7
50	80	0	1440	1668	7
30	20	0	207	1668	7
20	60	0	672	1668	7
40	20	0	377	1668	7
20	0	0	66	1668	7
30	100	0	1300	1668	7
20	40	0	338	1668	7
10	20	0	15	1668	7
50	60	0	1351	1668	7
40	0	0	86	1668	7
20	100	0	1071	1668	7
50	20	0	543	1668	7
10	80	0	205	1668	7
20	80	0	921	1668	7
50	100	0	1486	1668	7
30	60	0	1028	1668	7
40	100	0	1421	1668	7
30	40	0	696	1668	7
10	40	0	35	1668	7
50	40	0	1140	1668	7
30	0	0	75	1668	7
40	60	0	1231	1668	7
50	0	0	99	1668	7
10	60	0	102	1668	7
30	80	0	1210	1668	7
10	100	0	319	1668	7
40	80	0	1344	1668	7
20	20	0	43	1668	9
40	40	0	753	1668	9
10	0	0	3	1668	9
50	80	0	1342	1668	9
30	20	0	116	1668	9
20	60	0	408	1668	9
40	20	0	200	1668	9
20	0	0	31	1668	9
30	100	0	1192	1668	9
20	40	0	142	1668	9
10	20	0	3	1668	9
50	60	0	1249	1668	9
40	0	0	82	1668	9
20	100	0	872	1668	9
50	20	0	316	1668	9
10	80	0	78	1668	9
20	80	0	680	1668	9
50	100	0	1410	1668	9
30	60	0	790	1668	9
40	100	0	1320	1668	9
30	40	0	445	1668	9
10	40	0	10	1668	9
50	40	0	954	1668	9
30	0	0	66	1668	9
40	60	0	1085	1668	9
50	0	0	94	1668	9
10	60	0	31	1668	9
30	80	0	1059	1668	9
10	100	0	161	1668	9
40	80	0	1248	1668	9
20	20	0	230	1668	5
40	40	0	1208	1668	5
10	0	0	38	1668	5
50	80	0	1525	1668	5
30	20	0	450	1668	5
20	60	0	994	1668	5
40	20	0	692	1668	5
20	0	0	100	1668	5
30	100	0	1412	1668	5
20	40	0	688	1668	5
10	20	0	63	1668	5
50	60	0	1466	1668	5
40	0	0	102	1668	5
20	100	0	1282	1668	5
50	20	0	880	1668	5
10	80	0	449	1668	5
20	80	0	1166	1668	5
50	100	0	1541	1668	5
30	60	0	1229	1668	5
40	100	0	1505	1668	5
30	40	0	992	1668	5
10	40	0	139	1668	5
50	40	0	1330	1668	5
30	0	0	96	1668	5
40	60	0	1380	1668	5
50	0	0	114	1668	5
10	60	0	289	1668	5
30	80	0	1362	1668	5
10	100	0	573	1668	5
40	80	0	1449	1668	5
20	20	0	397	1668	4
40	40	0	1304	1668	4
10	0	0	84	1668	4
50	80	0	1566	1668	4
30	20	0	636	1668	4
20	60	0	1155	1668	4
40	20	0	875	1668	4
20	0	0	131	1668	4
30	100	0	1473	1668	4
20	40	0	896	1668	4
10	20	0	132	1668	4
50	60	0	1528	1668	4
40	0	0	113	1668	4
20	100	0	1379	1668	4
50	20	0	1034	1668	4
10	80	0	621	1668	4
20	80	0	1283	1668	4
50	100	0	1576	1668	4
30	60	0	1321	1668	4
40	100	0	1539	1668	4
30	40	0	1141	1668	4
10	40	0	271	1668	4
50	40	0	1410	1668	4
30	0	0	110	1668	4
40	60	0	1444	1668	4
50	0	0	138	1668	4
10	60	0	466	1668	4
30	80	0	1426	1668	4
10	100	0	706	1668	4
40	80	0	1515	1668	4
20	20	0	153	1668	6
40	40	0	1091	1668	6
10	0	0	23	1668	6
50	80	0	1483	1668	6
30	20	0	302	1668	6
20	60	0	836	1668	6
40	20	0	517	1668	6
20	0	0	79	1668	6
30	100	0	1360	1668	6
