Depth	Tumor_Purity	TP	FP	FN	Support_Read
20	20	0	8	1668	10
40	40	181	74	1487	10
10	0	0	3	1668	10
50	80	1140	328	528	10
30	20	1	29	1667	10
20	60	64	14	1604	10
40	20	6	38	1662	10
20	0	0	10	1668	10
30	100	920	210	748	10
20	40	6	10	1662	10
10	20	0	3	1668	10
50	60	920	239	748	10
40	0	0	33	1668	10
20	100	396	83	1272	10
50	20	28	71	1640	10
10	80	6	0	1662	10
20	80	181	39	1487	10
50	100	1241	381	427	10
30	60	278	74	1390	10
40	100	1140	305	528	10
30	40	64	33	1604	10
10	40	0	2	1668	10
50	40	396	124	1272	10
30	0	0	24	1668	10
40	60	643	148	1025	10
50	0	0	52	1668	10
10	60	1	3	1667	10
30	80	643	147	1025	10
10	100	28	4	1640	10
40	80	983	258	685	10
20	20	109	104	1559	4
40	40	1107	343	561	4
10	0	0	192	1668	4
50	80	1350	548	321	4
30	20	295	136	1373	4
20	60	866	259	802	4
40	20	516	202	1152	4
20	0	0	84	1668	4
30	100	1329	464	342	4
20	40	516	194	1152	4
10	20	19	190	1649	4
50	60	1328	486	343	4
40	0	0	90	1668	4
20	100	1212	395	456	4
50	20	709	270	959	4
10	80	516	290	1152	4
20	80	1107	343	561	4
50	100	1362	568	309	4
30	60	1167	357	501	4
40	100	1350	527	321	4
30	40	866	254	802	4
10	40	109	196	1559	4
50	40	1212	404	456	4
30	0	0	83	1668	4
40	60	1271	410	398	4
50	0	0	102	1668	4
10	60	295	240	1373	4
30	80	1272	414	397	4
10	100	709	328	959	4
40	80	1336	506	335	4
20	20	49	69	1619	5
40	40	943	276	725	5
10	0	0	102	1668	5
50	80	1336	480	334	5
30	20	143	88	1525	5
20	60	656	190	1012	5
40	20	299	131	1369	5
20	0	0	60	1668	5
30	100	1287	400	383	5
20	40	299	118	1369	5
10	20	2	105	1666	5
50	60	1286	417	384	5
40	0	0	68	1668	5
20	100	1107	316	561	5
50	20	488	202	1180	5
10	80	299	156	1369	5
20	80	943	267	725	5
50	100	1354	513	317	5
30	60	1040	292	628	5
40	100	1336	460	334	5
30	40	656	201	1012	5
10	40	49	107	1619	5
50	40	1107	338	561	5
30	0	0	59	1668	5
40	60	1205	355	463	5
50	0	0	87	1668	5
10	60	143	119	1525	5
30	80	1205	357	463	5
10	100	488	191	1180	5
40	80	1307	429	363	5
20	20	2	33	1666	7
40	40	603	181	1065	7
10	0	0	28	1668	7
50	80	1282	405	386	7
30	20	22	50	1646	7
20	60	301	87	1367	7
40	20	89	63	1579	7
20	0	0	27	1668	7
30	100	1163	316	505	7
20	40	89	35	1579	7
10	20	0	29	1668	7
50	60	1163	348	505	7
40	0	0	53	1668	7
20	100	839	198	829	7
50	20	180	109	1488	7
10	80	89	35	1579	7
20	80	603	151	1065	7
50	100	1335	447	334	7
30	60	727	187	941	7
40	100	1282	386	386	7
30	40	301	104	1367	7
10	40	2	31	1666	7
50	40	839	234	829	7
30	0	0	36	1668	7
40	60	1019	263	649	7
50	0	0	64	1668	7
10	60	22	29	1646	7
30	80	1019	264	649	7
10	100	180	48	1488	7
40	80	1200	351	468	7
20	20	14	45	1654	6
40	40	768	218	900	6
10	0	0	51	1668	6
50	80	1319	439	351	6
30	20	69	74	1599	6
20	60	454	139	1214	6
40	20	166	85	1502	6
20	0	0	37	1668	6
30	100	1231	354	437	6
20	40	166	67	1502	6
10	20	0	56	1668	6
50	60	1231	381	437	6
40	0	0	59	1668	6
20	100	986	260	682	6
50	20	309	148	1359	6
10	80	166	71	1502	6
20	80	768	198	900	6
50	100	1344	479	326	6
30	60	897	238	771	6
40	100	1319	419	351	6
30	40	454	152	1214	6
10	40	14	57	1654	6
50	40	986	286	682	6
30	0	0	44	1668	6
40	60	1121	307	547	6
50	0	0	71	1668	6
10	60	69	63	1599	6
30	80	1121	316	547	6
10	100	309	100	1359	6
40	80	1252	388	417	6
20	20	1	22	1667	8
40	40	436	136	1232	8
10	0	0	13	1668	8
50	80	1235	380	433	8
30	20	9	41	1659	8
20	60	186	43	1482	8
40	20	37	50	1631	8
20	0	0	24	1668	8
30	100	1087	280	581	8
20	40	37	21	1631	8
10	20	0	17	1668	8
50	60	1087	309	581	8
40	0	0	47	1668	8
20	100	700	158	968	8
50	20	93	91	1575	8
10	80	37	15	1631	8
20	80	436	105	1232	8
50	100	1313	417	356	8
30	60	572	149	1096	8
40	100	1235	361	433	8
30	40	186	68	1482	8
10	40	1	9	1667	8
50	40	700	197	968	8
30	0	0	32	1668	8
40	60	903	223	765	8
50	0	0	60	1668	8
10	60	9	14	1659	8
30	80	903	216	765	8
10	100	93	22	1575	8
