Depth	Tumor_Purity	TP	FP	FN	Support_Read
20	20	122	776	1546	9
40	40	675	890	993	9
10	0	0	1949	1668	9
50	80	878	1017	790	9
30	20	260	704	1408	9
20	60	537	1010	1131	9
40	20	371	723	1297	9
20	0	0	694	1668	9
30	100	850	1008	818	9
20	40	371	911	1297	9
10	20	37	1990	1631	9
50	60	850	995	818	9
40	0	0	541	1668	9
20	100	761	1105	907	9
50	20	464	761	1204	9
10	80	371	2167	1297	9
20	80	675	1074	993	9
50	100	884	1027	784	9
30	60	723	958	945	9
40	100	878	1039	790	9
30	40	537	876	1131	9
10	40	122	2010	1546	9
50	40	761	905	907	9
30	0	0	581	1668	9
40	60	797	980	871	9
50	0	0	489	1668	9
10	60	260	2084	1408	9
30	80	797	989	871	9
10	100	464	2223	1204	9
40	80	862	1026	806	9
20	20	122	776	1546	8
40	40	675	890	993	8
10	0	0	1949	1668	8
50	80	878	1017	790	8
30	20	260	704	1408	8
20	60	537	1010	1131	8
40	20	371	723	1297	8
20	0	0	694	1668	8
30	100	850	1008	818	8
20	40	371	911	1297	8
10	20	37	1990	1631	8
50	60	850	995	818	8
40	0	0	541	1668	8
20	100	761	1105	907	8
50	20	464	761	1204	8
10	80	371	2167	1297	8
20	80	675	1074	993	8
50	100	884	1027	784	8
30	60	723	958	945	8
40	100	878	1039	790	8
30	40	537	876	1131	8
10	40	122	2010	1546	8
50	40	761	905	907	8
30	0	0	581	1668	8
40	60	797	980	871	8
50	0	0	489	1668	8
10	60	260	2084	1408	8
30	80	797	989	871	8
10	100	464	2223	1204	8
40	80	862	1026	806	8
20	20	122	776	1546	10
40	40	675	890	993	10
10	0	0	1949	1668	10
50	80	878	1017	790	10
30	20	260	704	1408	10
20	60	537	1010	1131	10
40	20	371	723	1297	10
20	0	0	694	1668	10
30	100	850	1008	818	10
20	40	371	911	1297	10
10	20	37	1990	1631	10
50	60	850	995	818	10
40	0	0	541	1668	10
20	100	761	1105	907	10
50	20	464	761	1204	10
10	80	371	2167	1297	10
20	80	675	1074	993	10
50	100	884	1027	784	10
30	60	723	958	945	10
40	100	878	1039	790	10
30	40	537	876	1131	10
10	40	122	2010	1546	10
50	40	761	905	907	10
30	0	0	581	1668	10
40	60	797	980	871	10
50	0	0	489	1668	10
10	60	260	2084	1408	10
30	80	797	989	871	10
10	100	464	2223	1204	10
40	80	862	1026	806	10
20	20	122	776	1546	7
40	40	675	890	993	7
10	0	0	1949	1668	7
50	80	878	1017	790	7
30	20	260	704	1408	7
20	60	537	1010	1131	7
40	20	371	723	1297	7
20	0	0	694	1668	7
30	100	850	1008	818	7
20	40	371	911	1297	7
10	20	37	1990	1631	7
50	60	850	995	818	7
40	0	0	541	1668	7
20	100	761	1105	907	7
50	20	464	761	1204	7
10	80	371	2167	1297	7
20	80	675	1074	993	7
50	100	884	1027	784	7
30	60	723	958	945	7
40	100	878	1039	790	7
30	40	537	876	1131	7
10	40	122	2010	1546	7
50	40	761	905	907	7
30	0	0	581	1668	7
40	60	797	980	871	7
50	0	0	489	1668	7
10	60	260	2084	1408	7
30	80	797	989	871	7
10	100	464	2223	1204	7
40	80	862	1026	806	7
20	20	122	776	1546	3
40	40	675	890	993	3
10	0	0	1949	1668	3
50	80	878	1017	790	3
30	20	260	704	1408	3
20	60	537	1010	1131	3
40	20	371	723	1297	3
20	0	0	694	1668	3
30	100	850	1008	818	3
20	40	371	911	1297	3
10	20	37	1990	1631	3
50	60	850	995	818	3
40	0	0	541	1668	3
20	100	761	1105	907	3
50	20	464	761	1204	3
10	80	371	2167	1297	3
20	80	675	1074	993	3
50	100	884	1027	784	3
30	60	723	958	945	3
40	100	878	1039	790	3
30	40	537	876	1131	3
10	40	122	2010	1546	3
50	40	761	905	907	3
30	0	0	581	1668	3
40	60	797	980	871	3
50	0	0	489	1668	3
10	60	260	2084	1408	3
30	80	797	989	871	3
10	100	464	2223	1204	3
40	80	862	1026	806	3
20	20	122	776	1546	5
40	40	675	890	993	5
10	0	0	1949	1668	5
50	80	878	1017	790	5
30	20	260	704	1408	5
20	60	537	1010	1131	5
40	20	371	723	1297	5
20	0	0	694	1668	5
30	100	850	1008	818	5
20	40	371	911	1297	5
10	20	37	1990	1631	5
50	60	850	995	818	5
40	0	0	541	1668	5
20	100	761	1105	907	5
50	20	464	761	1204	5
10	80	371	2167	1297	5
20	80	675	1074	993	5
50	100	884	1027	784	5
30	60	723	958	945	5
40	100	878	1039	790	5
30	40	537	876	1131	5
10	40	122	2010	1546	5
50	40	761	905	907	5
30	0	0	581	1668	5
40	60	797	980	871	5
50	0	0	489	1668	5
10	60	260	2084	1408	5
30	80	797	989	871	5
10	100	464	2223	1204	5
40	80	862	1026	806	5
20	20	122	776	1546	4
40	40	675	890	993	4
10	0	0	1949	1668	4
50	80	878	1017	790	4
30	20	260	704	1408	4
20	60	537	1010	1131	4
40	20	371	723	1297	4
20	0	0	694	1668	4
30	100	850	1008	818	4
20	40	371	911	1297	4
10	20	37	1990	1631	4
50	60	850	995	818	4
40	0	0	541	1668	4
20	100	761	1105	907	4
50	20	464	761	1204	4
10	80	371	2167	1297	4
20	80	675	1074	993	4
50	100	884	1027	784	4
30	60	723	958	945	4
40	100	878	1039	790	4
30	40	537	876	1131	4
10	40	122	2010	1546	4
50	40	761	905	907	4
30	0	0	581	1668	4
40	60	797	980	871	4
50	0	0	489	1668	4
10	60	260	2084	1408	4
30	80	797	989	871	4
10	100	464	2223	1204	4
40	80	862	1026	806	4
20	20	122	776	1546	6
40	40	675	890	993	6
10	0	0	1949	1668	6
50	80	878	1017	790	6
30	20	260	704	1408	6
20	60	537	1010	1131	6
40	20	371	723	1297	6
20	0	0	694	1668	6
30	100	850	1008	818	6
20	40	371	911	1297	6
10	20	37	1990	1631	6
50	60	850	995	818	6
40	0	0	541	1668	6
20	100	761	1105	907	6
50	20	464	761	1204	6
10	80	371	2167	1297	6
20	80	675	1074	993	6
50	100	884	1027	784	6
30	60	723	958	945	6
40	100	878	1039	790	6
30	40	537	876	1131	6
10	40	122	2010	1546	6
50	40	761	905	907	6
30	0	0	581	1668	6
40	60	797	980	871	6
50	0	0	489	1668	6
10	60	260	2084	1408	6
30	80	797	989	871	6
10	100	464	2223	1204	6
40	80	862	1026	806	6
