Depth	Tumor_Purity	TP	FP	FN	Support_Read
20	20	330	20	1338	3
40	40	1411	45	258	3
10	0	0	103	1668	3
50	80	1594	67	74	3
30	20	622	17	1046	3
20	60	1249	47	420	3
40	20	912	28	757	3
20	0	0	11	1668	3
30	100	1578	66	90	3
20	40	912	38	757	3
10	20	79	99	1589	3
50	60	1578	61	90	3
40	0	0	1	1668	3
20	100	1495	59	173	3
50	20	1112	36	557	3
10	80	913	118	756	3
20	80	1411	60	258	3
50	100	1606	71	62	3
30	60	1439	54	230	3
40	100	1594	70	74	3
30	40	1249	43	420	3
10	40	330	97	1338	3
50	40	1495	53	173	3
30	0	0	3	1668	3
40	60	1547	55	121	3
50	0	0	3	1668	3
10	60	622	109	1046	3
30	80	1547	57	121	3
10	100	1113	127	556	3
40	80	1581	65	87	3
20	20	24	4	1644	6
40	40	954	26	714	6
10	0	0	25	1668	6
50	80	1546	58	122	6
30	20	105	6	1563	6
20	60	625	22	1043	6
40	20	231	7	1437	6
20	0	0	2	1668	6
30	100	1449	48	219	6
20	40	231	8	1437	6
10	20	1	28	1667	6
50	60	1449	47	219	6
40	0	0	0	1668	6
20	100	1201	35	467	6
50	20	415	17	1253	6
10	80	231	31	1437	6
20	80	954	28	714	6
50	100	1583	60	85	6
30	60	1086	28	582	6
40	100	1546	58	122	6
30	40	625	21	1043	6
10	40	24	27	1644	6
50	40	1201	34	467	6
30	0	0	1	1668	6
40	60	1320	40	348	6
50	0	0	1	1668	6
10	60	105	32	1563	6
30	80	1320	40	348	6
10	100	415	38	1253	6
40	80	1468	52	200	6
20	20	1	1	1667	9
40	40	464	16	1204	9
10	0	0	5	1668	9
50	80	1407	47	261	9
30	20	7	0	1661	9
20	60	183	6	1485	9
40	20	34	1	1634	9
20	0	0	1	1668	9
30	100	1219	38	449	9
20	40	34	2	1634	9
10	20	0	4	1668	9
50	60	1219	38	449	9
40	0	0	0	1668	9
20	100	747	20	921	9
50	20	94	5	1574	9
10	80	33	1	1635	9
20	80	464	17	1204	9
50	100	1511	52	157	9
30	60	611	16	1057	9
40	100	1407	47	261	9
30	40	183	5	1485	9
10	40	1	4	1667	9
50	40	748	19	920	9
30	0	0	0	1668	9
40	60	985	30	683	9
50	0	0	1	1668	9
10	60	7	4	1661	9
30	80	985	30	683	9
10	100	93	8	1575	9
40	80	1269	41	399	9
20	20	145	13	1523	4
40	40	1297	40	372	4
10	0	0	67	1668	4
50	80	1585	65	83	4
30	20	359	12	1309	4
20	60	1051	36	618	4
40	20	631	22	1037	4
20	0	0	7	1668	4
30	100	1545	60	123	4
20	40	631	26	1037	4
10	20	20	73	1648	4
50	60	1545	58	123	4
40	0	0	1	1668	4
20	100	1415	52	253	4
50	20	864	31	805	4
10	80	631	88	1037	4
20	80	1297	50	372	4
50	100	1604	65	64	4
30	60	1358	48	311	4
40	100	1585	67	83	4
30	40	1051	34	618	4
10	40	145	68	1523	4
50	40	1415	48	253	4
30	0	0	3	1668	4
40	60	1485	51	183	4
50	0	0	3	1668	4
10	60	359	75	1309	4
30	80	1485	53	183	4
10	100	865	99	804	4
40	80	1554	63	114	4
20	20	1	1	1667	10
40	40	319	10	1349	10
10	0	0	4	1668	10
50	80	1363	42	305	10
30	20	2	0	1666	10
20	60	113	5	1555	10
40	20	16	0	1652	10
20	0	0	1	1668	10
30	100	1124	34	544	10
20	40	16	1	1652	10
10	20	0	3	1668	10
50	60	1124	33	544	10
40	0	0	0	1668	10
20	100	607	16	1061	10
50	20	52	2	1616	10
10	80	16	0	1652	10
20	80	319	11	1349	10
50	100	1466	51	202	10
30	60	454	13	1214	10
40	100	1363	42	305	10
30	40	113	4	1555	10
10	40	1	0	1667	10
50	40	608	15	1060	10
30	0	0	0	1668	10
40	60	854	23	814	10
50	0	0	1	1668	10
10	60	2	1	1666	10
30	80	854	23	814	10
10	100	52	3	1616	10
40	80	1196	38	472	10
20	20	2	1	1666	8
40	40	631	20	1037	8
10	0	0	8	1668	8
50	80	1454	48	214	8
30	20	21	2	1647	8
20	60	297	8	1371	8
40	20	77	3	1591	8
20	0	0	1	1668	8
30	100	1304	39	364	8
20	40	77	4	1591	8
10	20	0	7	1668	8
50	60	1304	39	364	8
40	0	0	0	1668	8
20	100	905	28	763	8
50	20	151	5	1517	8
10	80	77	10	1591	8
20	80	631	21	1037	8
50	100	1552	53	116	8
30	60	773	20	895	8
40	100	1454	48	214	8
30	40	297	7	1371	8
10	40	2	8	1666	8
50	40	906	27	762	8
30	0	0	1	1668	8
40	60	1112	33	556	8
50	0	0	1	1668	8
10	60	21	10	1647	8
30	80	1112	33	556	8
10	100	151	10	1517	8
40	80	1331	42	337	8
20	20	67	7	1601	5
40	40	1129	34	539	5
10	0	0	46	1668	5
50	80	1571	62	97	5
30	20	190	7	1478	5
20	60	828	28	840	5
40	20	399	18	1269	5
20	0	0	5	1668	5
30	100	1505	52	163	5
20	40	399	19	1269	5
10	20	4	39	1664	5
50	60	1505	51	163	5
40	0	0	1	1668	5
20	100	1315	42	353	5
50	20	628	24	1040	5
10	80	399	59	1269	5
20	80	1129	39	539	5
50	100	1595	62	73	5
30	60	1233	39	435	5
40	100	1571	62	97	5
30	40	828	28	840	5
10	40	67	46	1601	5
50	40	1315	41	353	5
30	0	0	3	1668	5
40	60	1407	45	261	5
50	0	0	2	1668	5
10	60	190	51	1478	5
30	80	1407	46	261	5
10	100	629	65	1039	5
40	80	1521	57	147	5
20	20	9	3	1659	7
40	40	801	23	867	7
10	0	0	14	1668	7
50	80	1498	52	170	7
30	20	48	4	1620	7
20	60	446	18	1222	7
40	20	134	4	1534	7
20	0	0	1	1668	7
30	100	1373	43	295	7
20	40	134	6	1534	7
10	20	0	17	1668	7
50	60	1373	43	295	7
40	0	0	0	1668	7
20	100	1038	30	630	7
50	20	263	11	1405	7
10	80	134	18	1534	7
20	80	801	25	867	7
50	100	1571	57	97	7
30	60	920	25	748	7
40	100	1498	52	170	7
30	40	446	17	1222	7
10	40	9	18	1659	7
50	40	1038	29	630	7
30	0	0	1	1668	7
40	60	1218	37	450	7
50	0	0	1	1668	7
10	60	48	23	1620	7
30	80	1218	37	450	7
10	100	263	21	1405	7
40	80	1407	45	261	7
