Depth	Tumor_Purity	TP	FP	FN	Support_Read
20	20	0	735	1668	9
40	40	116	936	1552	9
10	0	0	124	1668	9
50	80	332	1184	1336	9
30	20	2	859	1666	9
20	60	37	808	1631	9
40	20	3	737	1665	9
20	0	0	769	1668	9
30	100	314	1377	1354	9
20	40	3	763	1665	9
10	20	0	140	1668	9
50	60	314	1141	1354	9
40	0	0	769	1668	9
20	100	199	1044	1469	9
50	20	23	681	1645	9
10	80	3	138	1665	9
20	80	114	950	1554	9
50	100	340	1213	1329	9
30	60	160	1087	1508	9
40	100	332	1321	1336	9
30	40	38	960	1630	9
10	40	0	120	1668	9
50	40	200	931	1468	9
30	0	0	849	1668	9
40	60	259	1158	1409	9
50	0	0	654	1668	9
10	60	2	142	1666	9
30	80	259	1290	1409	9
10	100	23	168	1645	9
40	80	322	1263	1346	9
20	20	1	871	1667	8
40	40	151	1005	1517	8
10	0	0	247	1668	8
50	80	336	1200	1332	8
30	20	5	897	1663	8
20	60	59	960	1609	8
40	20	13	768	1655	8
20	0	0	866	1668	8
30	100	324	1436	1344	8
20	40	13	898	1655	8
10	20	0	237	1668	8
50	60	324	1169	1344	8
40	0	0	783	1668	8
20	100	238	1241	1430	8
50	20	37	716	1631	8
10	80	13	273	1655	8
20	80	151	1132	1517	8
50	100	340	1229	1329	8
30	60	194	1175	1474	8
40	100	336	1341	1332	8
30	40	60	1027	1608	8
10	40	1	242	1667	8
50	40	238	993	1430	8
30	0	0	900	1668	8
40	60	283	1203	1385	8
50	0	0	659	1668	8
10	60	5	243	1663	8
30	80	283	1367	1385	8
10	100	36	304	1632	8
40	80	329	1291	1339	8
20	20	17	1183	1651	5
40	40	276	1250	1392	5
10	0	0	852	1668	5
50	80	341	1252	1328	5
30	20	54	1033	1614	5
20	60	214	1493	1454	5
40	20	121	949	1547	5
20	0	0	1174	1668	5
30	100	342	1558	1327	5
20	40	120	1327	1548	5
10	20	2	835	1666	5
50	60	342	1251	1327	5
40	0	0	800	1668	5
20	100	320	1673	1348	5
50	20	179	942	1489	5
10	80	119	1120	1549	5
20	80	276	1639	1392	5
50	100	344	1260	1327	5
30	60	298	1438	1370	5
40	100	341	1402	1328	5
30	40	214	1332	1454	5
10	40	17	916	1651	5
50	40	320	1171	1348	5
30	0	0	955	1668	5
40	60	335	1339	1333	5
50	0	0	672	1668	5
10	60	53	954	1615	5
30	80	335	1541	1333	5
10	100	179	1143	1489	5
40	80	343	1376	1326	5
20	20	0	628	1668	10
40	40	69	875	1599	10
10	0	0	63	1668	10
50	80	328	1160	1340	10
30	20	0	825	1668	10
20	60	23	646	1645	10
40	20	1	725	1667	10
20	0	0	646	1668	10
30	100	297	1296	1371	10
20	40	1	612	1667	10
10	20	0	65	1668	10
50	60	297	1101	1371	10
40	0	0	757	1668	10
20	100	160	857	1508	10
50	20	13	654	1655	10
10	80	1	73	1667	10
20	80	69	763	1599	10
50	100	336	1198	1332	10
30	60	113	994	1555	10
40	100	328	1293	1340	10
30	40	23	883	1645	10
10	40	0	58	1668	10
50	40	160	871	1508	10
30	0	0	809	1668	10
40	60	230	1101	1438	10
50	0	0	648	1668	10
10	60	0	76	1668	10
30	80	229	1198	1439	10
10	100	13	92	1655	10
40	80	313	1225	1355	10
20	20	42	1266	1626	4
40	40	302	1317	1366	4
10	0	0	1125	1668	4
50	80	343	1286	1326	4
30	20	117	1136	1551	4
20	60	257	1628	1411	4
40	20	189	1074	1479	4
20	0	0	1219	1668	4
30	100	345	1586	1324	4
20	40	189	1487	1479	4
10	20	6	1190	1662	4
50	60	345	1279	1324	4
40	0	0	818	1668	4
20	100	330	1764	1338	4
50	20	234	1076	1434	4
10	80	189	1541	1479	4
20	80	302	1741	1366	4
50	100	345	1294	1326	4
30	60	316	1491	1352	4
40	100	343	1436	1326	4
30	40	257	1437	1411	4
10	40	42	1255	1626	4
50	40	330	1218	1338	4
30	0	0	979	1668	4
40	60	341	1382	1327	4
50	0	0	684	1668	4
10	60	117	1344	1551	4
30	80	341	1585	1327	4
10	100	234	1580	1434	4
40	80	345	1405	1324	4
20	20	2	994	1666	7
40	40	203	1086	1465	7
10	0	0	404	1668	7
50	80	338	1214	1330	7
30	20	8	943	1660	7
20	60	103	1143	1565	7
40	20	27	806	1641	7
20	0	0	984	1668	7
30	100	332	1479	1336	7
20	40	27	1039	1641	7
10	20	0	389	1668	7
50	60	332	1200	1336	7
40	0	0	789	1668	7
20	100	272	1415	1396	7
50	20	67	773	1601	7
10	80	27	470	1641	7
20	80	203	1314	1465	7
50	100	340	1236	1329	7
30	60	242	1277	1426	7
40	100	338	1358	1330	7
30	40	103	1132	1565	7
10	40	2	428	1666	7
50	40	272	1052	1396	7
30	0	0	931	1668	7
40	60	309	1262	1359	7
50	0	0	659	1668	7
10	60	8	414	1660	7
30	80	309	1450	1359	7
10	100	65	525	1603	7
40	80	335	1320	1333	7
20	20	8	1085	1660	6
40	40	240	1164	1428	6
10	0	0	600	1668	6
50	80	341	1235	1328	6
30	20	22	985	1646	6
20	60	155	1329	1513	6
40	20	62	852	1606	6
20	0	0	1086	1668	6
30	100	334	1517	1334	6
20	40	61	1174	1607	6
10	20	0	576	1668	6
50	60	334	1223	1334	6
40	0	0	793	1668	6
20	100	297	1564	1371	6
50	20	122	845	1546	6
10	80	61	733	1607	6
20	80	240	1506	1428	6
50	100	341	1250	1329	6
30	60	277	1363	1391	6
40	100	341	1381	1328	6
30	40	155	1229	1513	6
10	40	8	636	1660	6
50	40	297	1122	1371	6
30	0	0	945	1668	6
40	60	319	1305	1349	6
50	0	0	663	1668	6
10	60	22	669	1646	6
30	80	319	1507	1349	6
10	100	122	793	1546	6
40	80	339	1350	1330	6
20	20	89	1401	1579	3
40	40	328	1393	1341	3
10	0	0	1405	1668	3
50	80	346	1332	1324	3
30	20	197	1304	1471	3
20	60	309	1771	1359	3
40	20	259	1227	1409	3
20	0	0	1273	1668	3
30	100	349	1632	1321	3
20	40	259	1666	1409	3
10	20	21	1482	1647	3
50	60	349	1327	1321	3
40	0	0	841	1668	3
20	100	341	1842	1328	3
50	20	299	1190	1369	3
10	80	259	1925	1409	3
20	80	328	1831	1341	3
50	100	348	1338	1324	3
30	60	332	1567	1337	3
40	100	346	1473	1324	3
30	40	309	1556	1359	3
10	40	88	1619	1580	3
50	40	341	1277	1328	3
30	0	0	1005	1668	3
40	60	344	1428	1324	3
50	0	0	711	1668	3
10	60	196	1733	1472	3
30	80	344	1638	1324	3
10	100	299	1970	1369	3
40	80	349	1450	1321	3
